timestamp	name	type
2019-03-25 15:08:46.663508	MIO-MIO-MATE	mate
2019-03-24 20:02:01.89678	Jacobinus Bierspezialität	bier
2019-03-24 19:39:17.67685	Jacobinus Bierspezialität	bier
2019-03-24 17:15:40.64705	MIO-MIO-MATE	mate
2019-03-24 00:49:11.804937	Mio Mio Cola	cola
2019-03-23 22:37:52.058068	Mio Mio Cola	cola
2019-03-23 22:00:31.014908	Jacobinus Bierspezialität	bier
2019-03-23 21:52:57.913339	Jever Fun Alkoholfrei	saft
2019-03-23 21:52:41.153673	Krombacher Radler	bier
2019-03-23 21:18:01.315424	MIO-MIO-MATE	mate
2019-03-23 20:02:47.263831	Waldecker Sport	saft
2019-03-23 19:49:35.631689	Jacobinus Bierspezialität	bier
2019-03-23 19:04:59.676495	Mio Mio Cola	cola
2019-03-23 18:51:51.972442	MIO MIO Ginger	mate
2019-03-23 18:22:32.429191	Jacobinus Bierspezialität	bier
2019-03-23 17:12:37.732335	Mio Mio Cola	cola
2019-03-23 15:44:45.193102	Mio Mio Cola	cola
2019-03-22 19:48:30.289907	MIO-MIO-MATE	mate
2019-03-22 19:48:22.556656	MIO-MIO-MATE	mate
2019-03-22 19:48:15.556871	MIO-MIO-MATE	mate
2019-03-22 19:48:09.793079	MIO-MIO-MATE	mate
2019-03-22 19:24:14.369672	Jacobinus Bierspezialität	bier
2019-03-22 19:23:56.526087	Jacobinus Bierspezialität	bier
2019-03-22 18:46:50.0241	Esch-weger	bier
2019-03-22 18:46:39.739992	Krombacher Radler Naturtrüb	bier
2019-03-22 18:46:26.293229	Jever Fun Alkoholfrei	saft
2019-03-22 16:08:56.710877	MIO MIO Ginger	mate
2019-03-22 14:04:16.186982	Jever Fun Alkoholfrei	saft
2019-03-22 14:03:56.301255	Jever Fun Alkoholfrei	saft
2019-03-22 14:03:49.0284	MIO MIO Ginger	mate
2019-03-22 12:52:57.219832	MIO-MIO-MATE	mate
2019-03-22 12:36:07.743183	Mio Mio Cola	cola
2019-03-22 10:34:51.834656	MIO-MIO-MATE	mate
2019-03-21 22:27:22.109317	Fortuna Apfelschorle	saft
2019-03-21 18:51:50.395465	MIO MIO Ginger	mate
2019-03-21 15:25:48.332927	Jever Fun Alkoholfrei	saft
2019-03-21 12:32:32.393779	Fortuna Apfelschorle	saft
2019-03-21 12:19:09.066697	Mio Mio Cola	cola
2019-03-20 15:00:28.790249	Jever Fun Alkoholfrei	saft
2019-03-20 15:00:20.584606	Jever Fun Alkoholfrei	saft
2019-03-20 14:20:38.596796	MIO MIO Ginger	mate
2019-03-20 14:20:29.419535	Mio Mio Cola	cola
2019-03-20 14:20:10.611115	Mio Mio Cola	cola
2019-03-20 13:41:41.320231	MIO-MIO-MATE	mate
2019-03-20 12:25:52.92362	MIO-MIO-MATE	mate
2019-03-20 01:24:41.065371	Fortuna Apfelschorle	saft
2019-03-20 01:24:19.591606	Fortuna Apfelschorle	saft
2019-03-19 23:37:25.929214	MIO MIO Ginger	mate
2019-03-19 23:37:11.459262	Jacobinus Bierspezialität	bier
2019-03-19 22:49:26.165774	Waldecker Sport	saft
2019-03-19 22:47:24.362569	MIO MIO Ginger	mate
2019-03-19 22:38:55.469516	Jacobinus Bierspezialität	bier
2019-03-19 21:57:36.715011	Jacobinus Bierspezialität	bier
2019-03-19 21:06:47.679071	Fortuna Apfelschorle	saft
2019-03-19 20:52:55.110989	Mio-Mio Banana	mate
2019-03-19 20:50:45.230966	Mio Mio Cola	cola
2019-03-19 20:49:56.018566	Jacobinus Bierspezialität	bier
2019-03-19 20:48:10.731344	Mio Mio Cola	cola
2019-03-19 20:15:47.107193	Mio-Mio Banana	mate
2019-03-19 20:15:20.895186	Jever Fun Alkoholfrei	saft
2019-03-19 20:13:08.428331	Krombacher Radler Naturtrüb	bier
2019-03-19 20:10:16.209531	Mio Mio Cola	cola
2019-03-19 20:09:48.984624	Jever Fun Alkoholfrei	saft
2019-03-19 20:06:47.310923	MIO MIO Ginger	mate
2019-03-19 20:03:22.11367	Fortuna Apfelschorle	saft
2019-03-19 20:02:29.161809	Jacobinus Bierspezialität	bier
2019-03-19 19:58:13.084833	Köstritzer	bier
2019-03-19 19:42:38.457364	MIO MIO Ginger	mate
2019-03-19 19:40:37.37499	MIO MIO Ginger	mate
2019-03-19 19:40:29.78237	MIO MIO Ginger	mate
2019-03-19 19:35:17.904352	Jever Fun Alkoholfrei	saft
2019-03-19 19:09:36.424311	Mio Mio Cola	cola
2019-03-19 19:07:50.18982	Fortuna Apfelschorle	saft
2019-03-19 19:07:27.566758	Köstritzer	bier
2019-03-19 18:59:52.5911	Mio Mio Cola	cola
2019-03-19 18:46:58.097173	Jever Fun Alkoholfrei	saft
2019-03-19 18:40:54.602631	Jever Fun Alkoholfrei	saft
2019-03-19 17:26:18.324104	Mio-Mio Banana	mate
2019-03-17 19:32:23.386814	Jacobinus Bierspezialität	bier
2019-03-17 18:42:32.856367	JEVER	bier
2019-03-17 14:38:18.070296	MIO MIO Ginger	mate
2019-03-17 12:52:59.705683	MIO MIO Ginger	mate
2019-03-16 18:53:28.432026	MIO MIO Ginger	mate
2019-03-16 16:09:46.652303	MIO MIO Ginger	mate
2019-03-16 14:59:34.692786	Caldener Medium	wasser
2019-03-16 14:58:55.956108	MIO MIO Ginger	mate
2019-03-16 14:04:53.095511	MIO-MIO-MATE	mate
2019-03-16 14:04:31.982471	MIO MIO Ginger	mate
2019-03-16 04:52:47.874346	Fortuna Apfelschorle	saft
2019-03-16 03:50:40.120753	Jacobinus Bierspezialität	bier
2019-03-15 23:07:23.29993	Mio Mio Cola	cola
2019-03-15 21:32:01.717051	MIO MIO Ginger	mate
2019-03-15 20:43:07.7278	Mio Mio Cola	cola
2019-03-15 19:38:53.122134	MIO-MIO-MATE	mate
2019-03-14 17:01:55.531295	MIO-MIO-MATE	mate
2019-03-14 15:35:33.081006	MIO-MIO-MATE	mate
2019-03-14 14:37:05.670929	MIO MIO Ginger	mate
2019-03-13 16:04:33.892406	MIO-MIO-MATE	mate
2019-03-12 23:10:26.80053	Jacobinus Bierspezialität	bier
2019-03-12 23:07:30.687696	Fortuna Apfelschorle	saft
